['1399049469', '592.8400', '592.9900', '592.8200', '592.9260', '2900', '2014-05-02 12:51:09']
['1399049527', '592.9900', '592.9900', '592.9000', '592.9100', '2700', '2014-05-02 12:52:07']
['1399049581', '593.0200', '593.1000', '592.9270', '592.9800', '8200', '2014-05-02 12:53:01']
['1399049641', '592.9000', '593.0175', '592.9000', '592.9500', '2200', '2014-05-02 12:54:01']
['1399049701', '592.9600', '592.9900', '592.8400', '592.9300', '5800', '2014-05-02 12:55:01']
['1399049819', '592.8250', '592.9900', '592.7101', '592.9200', '5500', '2014-05-02 12:56:59']
['1399049820', '592.6700', '592.8700', '592.6700', '592.8400', '7100', '2014-05-02 12:57:00']
['1399049880', '592.7201', '592.7700', '592.7000', '592.7300', '2900', '2014-05-02 12:58:00']
['1399049940', '592.5400', '592.7600', '592.4600', '592.7200', '17500', '2014-05-02 12:59:00']
['1399050002', '592.4100', '592.6300', '592.4100', '592.5200', '13200', '2014-05-02 13:00:02']
['1399050063', '592.3200', '592.5999', '592.3000', '592.4800', '5300', '2014-05-02 13:01:03']
['1399050120', '592.3800', '592.4600', '592.3300', '592.3600', '4000', '2014-05-02 13:02:00']
['1399050184', '592.3300', '592.3700', '592.2300', '592.3700', '8000', '2014-05-02 13:03:04']
['1399050246', '592.3700', '592.3700', '592.2510', '592.3400', '7800', '2014-05-02 13:04:06']
['1399050302', '592.5650', '592.5986', '592.3600', '592.4200', '8200', '2014-05-02 13:05:02']
['1399050369', '592.4000', '592.6000', '592.3500', '592.5999', '8700', '2014-05-02 13:06:09']
['1399050479', '592.4000', '592.6000', '592.4000', '592.4600', '11100', '2014-05-02 13:07:59']
['1399050480', '592.0000', '592.4000', '591.9200', '592.4000', '22600', '2014-05-02 13:08:00']
['1399050540', '592.1000', '592.2795', '591.9700', '591.9800', '8000', '2014-05-02 13:09:00']
['1399050601', '592.1300', '592.2399', '591.9000', '592.1600', '14500', '2014-05-02 13:10:01']
['1399050719', '592.0300', '592.1400', '591.9300', '592.0000', '9100', '2014-05-02 13:11:59']
['1399050721', '592.1000', '592.2100', '591.8900', '592.0600', '14400', '2014-05-02 13:12:01']
['1399050781', '592.1400', '592.2500', '592.0100', '592.2000', '6500', '2014-05-02 13:13:01']
['1399050840', '592.3180', '592.3800', '592.1000', '592.1500', '6200', '2014-05-02 13:14:00']
['1399050902', '592.1300', '592.2900', '591.9600', '592.2900', '20800', '2014-05-02 13:15:02']
['1399050962', '592.0900', '592.3400', '592.0275', '592.0275', '8900', '2014-05-02 13:16:02']
['1399051025', '592.1850', '592.2500', '592.0200', '592.0500', '6800', '2014-05-02 13:17:05']
['1399051080', '592.2000', '592.3800', '592.1200', '592.1500', '8500', '2014-05-02 13:18:00']
