['2005-02-09', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common Stock', '2005-02-09', 'S', 10000.0, 32.2, 'D', 707014.0, 'D', 0]
['2005-02-09', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common Stock', '2005-02-09', 'S', 10000.0, 32.27, 'D', 697014.0, 'D', 0]
['2005-02-09', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common Stock', '2005-02-09', 'S', 10000.0, 32.24, 'D', 687014.0, 'D', 0]
['2005-02-15', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common Stock', '2005-02-15', 'G', 2078.0, 0.0, 'D', 684936.0, 'D', 0]
['2005-02-15', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common Stock', '2005-02-15', 'G', 2078.0, 0.0, 'D', 682858.0, 'D', 0]
['2005-02-09', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common Stock', '2005-02-25', 'M', 35000.0, 4.0938, 'A', 717858.0, 'D', 0]
['2005-02-09', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common Stock', '2005-02-25', 'S', 10000.0, 34.65, 'D', 707858.0, 'D', 0]
['2005-02-09', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common Stock', '2005-02-25', 'S', 10000.0, 34.71, 'D', 697858.0, 'D', 0]
['2005-02-09', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common Stock', '2005-02-25', 'S', 5000.0, 34.75, 'D', 692858.0, 'D', 0]
['2005-02-09', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common Stock', '2005-02-25', 'S', 7375.0, 34.95, 'D', 685483.0, 'D', 0]
['2005-02-09', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common Stock', '2005-02-25', 'S', 2625.0, 35.4, 'D', 682858.0, 'D', 0]
['2005-05-05', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common Stock', '2005-05-05', 'M', 120000.0, 4.0938, 'A', 802858.0, 'D', 0]
['2005-05-05', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common stock', '2005-05-05', 'S', 10000.0, 38.62, 'D', 792858.0, 'D', 0]
['2005-05-05', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common stock', '2005-05-05', 'S', 10000.0, 38.7, 'D', 782858.0, 'D', 0]
['2005-05-05', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common stock', '2005-05-05', 'S', 10000.0, 38.75, 'D', 772858.0, 'D', 0]
['2005-05-05', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common stock', '2005-05-05', 'S', 10000.0, 38.77, 'D', 762858.0, 'D', 0]
