2013-09-30-0001467858-0001594133,528.0,1928.0,2013-09-30,17,2013-09-30,0001467858,0001594133,528.0,1928.0,2013-09-30,17,2013-09-30,0001467858,0001594133
2013-09-30-0001467858-0001594133,-284.0,1644.0,2013-09-30,18,2013-09-30,0001467858,0001594133,-284.0,1644.0,2013-09-30,18,2013-09-30,0001467858,0001594133
2013-09-30-0001467858-0001594133,,,,,,,,-244.0,1600.0,2013-09-30,19,2013-09-30,0001467858,0001594133
2011-02-07-0000066740-0001377945,2718.0,17119.0,2011-02-07,1,2011-02-07,0000066740,0001377945,2717.662,17118.662,2011-02-07,1,2011-02-07,0000066740,0001377945
2011-02-07-0000066740-0001377945,,,,,,,,-914.662,16204.0,2011-02-07,2,2011-02-07,0000066740,0001377945
2011-03-15-0000882095-0001191589,22500.0,214776.0,2011-03-15,1,2011-03-15,0000882095,0001191589,27000.0,219276.0,2011-03-15,1,2011-03-15,0000882095,0001191589
2011-03-15-0000882095-0001191589,-10492.0,204284.0,2011-03-15,2,2011-03-15,0000882095,0001191589,-12602.0,206674.0,2011-03-15,2,2011-03-15,0000882095,0001191589
2007-04-16-0000005272-0001236615,-38363.0,276500042.0,2007-04-16,1,2007-04-16,0000005272,0001236615,-38363.0,276500042.0,2007-04-16,1,2007-04-16,0000005272,0001236615
2013-02-05-0000066740-0001197743,11285.64,45356.64,2013-02-05,1,2013-02-05,0000066740,0001197743,11285.64,45356.64,2013-02-05,1,2013-02-05,0000066740,0001197743
2013-02-05-0000066740-0001197743,,,,,,,,-4419.64,40937.0,2013-02-05,2,2013-02-05,0000066740,0001197743
2011-12-19-0000005272-0001530806,38946.0,38946.0,2011-12-19,1,2011-12-19,0000005272,0001530806,10732.0,10732.0,2011-12-19,1,2011-12-19,0000005272,0001530806
2011-12-19-0000005272-0001530806,18702.0,57648.0,2011-12-19,2,2011-12-19,0000005272,0001530806,10732.0,21464.0,2011-12-19,2,2011-12-19,0000005272,0001530806
2011-12-19-0000005272-0001530806,12469.0,70117.0,2011-12-19,3,2011-12-19,0000005272,0001530806,10308.0,31772.0,2011-12-19,3,2011-12-19,0000005272,0001530806
2011-12-19-0000005272-0001530806,12468.0,82585.0,2011-12-19,4,2011-12-19,0000005272,0001530806,6871.0,38643.0,2011-12-19,4,2011-12-19,0000005272,0001530806
2011-12-19-0000005272-0001530806,5556.0,88141.0,2011-12-19,5,2011-12-19,0000005272,0001530806,6871.0,45514.0,2011-12-19,5,2011-12-19,0000005272,0001530806
2011-12-19-0000005272-0001530806,,,,,,,,3062.0,48576.0,2011-12-19,6,2011-12-19,0000005272,0001530806
2012-10-05-0000066740-0001197743,17436.0,48801.0,2012-10-05,1,2012-10-05,0000066740,0001197743,19518.0,50883.0,2012-10-05,1,2012-10-05,0000066740,0001197743
2012-10-05-0000066740-0001197743,-15354.0,33447.0,2012-10-05,2,2012-10-05,0000066740,0001197743,-17436.0,33447.0,2012-10-05,2,2012-10-05,0000066740,0001197743
2012-10-05-0000066740-0001197743,12301.0,45748.0,2012-10-05,3,2012-10-05,0000066740,0001197743,13434.0,46881.0,2012-10-05,3,2012-10-05,0000066740,0001197743
2012-10-05-0000066740-0001197743,-11168.0,34580.0,2012-10-05,4,2012-10-05,0000066740,0001197743,-12301.0,34580.0,2012-10-05,4,2012-10-05,0000066740,0001197743
2013-02-05-0000066740-0001444612,11928.72,22142.72,2013-02-05,1,2013-02-05,0000066740,0001444612,11928.72,22142.72,2013-02-05,1,2013-02-05,0000066740,0001444612
2013-02-05-0000066740-0001444612,,,,,,,,-441.419,21701.301,2013-02-05,2,2013-02-05,0000066740,0001444612
2007-06-19-0000005272-0001236615,-400000.0,261117536.0,2007-06-19,1,2007-06-19,0000005272,0001236615,-400000.0,261117536.0,2007-06-19,1,2007-06-19,0000005272,0001236615
